frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596425444.715017338	eth:ethertype:ip:tcp	66	172.217.12.161	192.168.0.158	443	40492	443	0	8611	1121	1	0
1596425444.767109530	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	3937	4629	1	0
1596425444.767425400	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4629	4029	1	0
1596425444.812140488	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	4029	4629	1	0
1596425444.812461639	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4629	4265	1	0
1596425444.834333365	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	4629	4265	1	0
1596425444.875034646	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	4265	4705	1	0
1596425444.877387263	eth:ethertype:ip:tcp:ssh	430	192.168.0.1	192.168.0.158	35658	22	35658	364	4705	4265	1	0
1596425444.877396138	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	4265	5069	1	0
1596425444.877948343	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	4265	5069	1	0
1596425444.919618313	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	5069	4341	1	0
1596425445.095100152	eth:ethertype:ip:tcp:ssh	454	192.168.0.1	192.168.0.158	35658	22	35658	388	5069	4341	1	0
1596425445.095880153	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	4341	5457	1	0
1596425445.096147946	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	5457	4417	1	0
1596425445.282994229	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	4417	5457	1	0
1596425445.283255610	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	5457	4509	1	0
1596425445.321383629	eth:ethertype:ip:tcp:ssh	1102	192.168.0.1	192.168.0.158	35658	22	35658	1036	5457	4509	1	0
1596425445.323569830	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	4509	6493	1	0
1596425445.323853695	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	6493	4601	1	0
1596425445.324575668	eth:ethertype:ip:tcp:ssh	118	192.168.0.158	192.168.0.1	22	35658	22	52	4601	6493	1	0
1596425445.324840124	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	6493	4653	1	0
1596425445.327856754	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	4653	6493	1	0
1596425445.328140798	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	6493	4889	1	0
1596425445.346068727	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	6493	4889	1	0
1596425445.391034430	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	4889	6569	1	0
1596425445.398646349	eth:ethertype:ip:tcp:ssh	430	192.168.0.1	192.168.0.158	35658	22	35658	364	6569	4889	1	0
1596425445.398661507	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	4889	6933	1	0
1596425445.399281908	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	4889	6933	1	0
1596425445.439611411	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	6933	4965	1	0
1596425445.529731520	eth:ethertype:ip:tcp:ssh	1582	192.168.0.1	192.168.0.158	35658	22	35658	1516	6933	4965	1	0
